Tyre Life Span (Years),Tyre Life in Kilometers,Tyre Width,Required Tyre Pressure,Maximum Safe Tyre Speed,Tyre Brand/Company,Tyre Load Capacity (kg),Tyre Position,Tread Depth (mm),Tyre Temperature (°C),Tyre Type,Seasonal Type,Speed Index,Load Index,Manufacturing Date,Wheel Alignment History,Road Condition Usage,Last Rotation Date,Vehicle Type Compatibility,Tyre Noise Level (dB),TPMS Pressure,TPMS Temperature,Leak Detection,Tread Wear Pattern,Mileage Since Installation,Expected Replacement Date
5,43102,225,32,197,Michelin,673,Rear Right,6.2,43,Tubeless,All-season,W,102,2024-10-17,Good,Off-road,2025-02-25,Sedan,70.9,34,49,Yes,Center,33944,2029-10-16
4,63073,205,34,213,Continental,588,Front Left,5.4,79,Tubeless,All-season,Y,98,2022-11-20,Misaligned,Mixed,2025-06-13,Hatchback,68.2,35,54,No,Even,57423,2026-11-19
6,76835,165,34,194,Pirelli,672,Rear Left,5.0,49,Tube-type,All-season,V,83,2024-12-11,Needs Check,Off-road,2025-02-18,SUV,70.4,28,77,No,Even,65503,2030-12-10
3,63727,205,33,185,Goodyear,618,Front Right,5.3,66,Tube-type,Summer,V,88,2021-12-24,Misaligned,City,2024-11-13,Sedan,70.8,33,53,No,Outer,37864,2024-12-23
7,75045,175,33,216,Continental,672,Front Left,5.6,39,Tubeless,Winter,T,104,2023-10-09,Good,Highway,2024-08-08,Hatchback,71.5,31,52,No,Center,41179,2030-10-07
3,72961,215,32,202,Continental,610,Rear Right,7.7,49,Tube-type,Winter,T,86,2023-09-15,Needs Check,City,2025-02-20,Sedan,71.5,29,44,Yes,Even,72920,2026-09-14
3,35702,225,34,218,MRF,477,Front Right,6.1,36,Tubeless,Summer,W,96,2023-08-08,Good,Mixed,2024-11-16,Hatchback,67.8,34,41,No,Center,28818,2026-08-07
7,34286,205,32,219,MRF,521,Rear Left,3.9,73,Tubeless,Winter,V,92,2024-08-13,Needs Check,Highway,2025-06-23,Sedan,70.8,29,54,Yes,Even,17186,2031-08-12
3,56251,195,33,204,MRF,580,Front Right,7.2,47,Tube-type,All-season,Y,102,2021-02-13,Needs Check,Off-road,2025-04-19,Sedan,73.7,32,80,Yes,Even,32018,2024-02-13
3,65869,195,35,204,Goodyear,773,Rear Right,5.3,80,Tube-type,Summer,Y,95,2024-09-19,Needs Check,Highway,2024-09-24,SUV,69.2,36,76,Yes,Inner,40589,2027-09-19
3,36804,215,30,181,Goodyear,675,Front Left,6.5,38,Tube-type,Winter,V,86,2021-03-07,Misaligned,Off-road,2025-04-11,Sedan,71.2,30,65,Yes,Even,4866,2024-03-06
5,32048,165,34,180,Bridgestone,422,Rear Left,6.3,56,Tubeless,Winter,V,80,2023-01-15,Misaligned,City,2024-08-16,Hatchback,65.9,35,47,No,Outer,22451,2028-01-14
4,76389,205,32,192,Apollo,517,Front Left,2.4,68,Tube-type,Summer,H,102,2023-01-08,Misaligned,City,2024-12-04,Sedan,74.8,31,33,Yes,Even,33027,2027-01-07
7,32915,225,35,218,Goodyear,622,Front Left,2.0,53,Tubeless,Summer,W,107,2023-06-16,Misaligned,Off-road,2025-06-06,Sedan,71.1,34,63,Yes,Outer,26015,2030-06-14
4,72022,185,30,188,Continental,643,Front Left,2.9,26,Tube-type,Winter,T,110,2023-02-21,Good,Highway,2024-10-15,Sedan,67.0,30,79,No,Even,53306,2027-02-20
6,50363,225,32,203,Continental,400,Rear Right,4.9,49,Tube-type,Summer,T,89,2022-12-15,Good,City,2024-12-21,Truck,70.2,28,37,Yes,Even,48312,2028-12-13
4,55941,175,33,240,Apollo,524,Rear Left,6.0,41,Tubeless,All-season,Y,110,2024-02-20,Good,Mixed,2024-11-19,Hatchback,71.0,34,59,No,Inner,12660,2028-02-19
6,38312,185,30,217,Pirelli,583,Rear Left,5.3,25,Tubeless,Winter,V,103,2023-05-09,Needs Check,Highway,2025-06-22,Sedan,74.1,32,77,Yes,Even,8136,2029-05-07
7,41286,205,32,180,Apollo,507,Rear Left,2.9,77,Tubeless,All-season,W,88,2022-04-07,Needs Check,City,2025-03-15,Sedan,66.7,31,33,No,Center,14695,2029-04-05
5,73414,175,30,199,Pirelli,685,Rear Right,2.3,46,Tubeless,Winter,V,98,2023-08-14,Good,Off-road,2024-07-25,SUV,73.4,33,30,No,Inner,31825,2028-08-12
3,51258,205,30,233,Apollo,772,Rear Left,5.6,72,Tube-type,Winter,T,93,2024-03-10,Needs Check,Mixed,2024-09-05,Hatchback,65.1,34,74,No,Outer,7541,2027-03-10
5,44564,165,32,201,Apollo,494,Rear Left,3.7,28,Tubeless,All-season,H,106,2020-11-05,Needs Check,Highway,2025-06-11,Truck,74.6,34,38,Yes,Even,4945,2025-11-04
5,30100,195,31,220,Pirelli,775,Rear Left,2.4,59,Tubeless,Summer,T,88,2023-03-09,Misaligned,Off-road,2025-03-17,SUV,70.4,29,37,Yes,Even,14870,2028-03-07
4,48643,205,34,227,Michelin,736,Rear Right,6.6,44,Tube-type,Summer,V,82,2021-11-30,Good,Highway,2024-11-09,Hatchback,69.6,33,27,Yes,Even,48498,2025-11-29
6,56685,205,33,193,MRF,482,Front Left,5.1,66,Tubeless,All-season,H,87,2023-10-22,Misaligned,Off-road,2024-11-27,Hatchback,66.1,28,48,Yes,Even,33245,2029-10-20
5,37560,185,30,228,Bridgestone,446,Front Left,3.0,29,Tubeless,Winter,T,101,2023-08-24,Good,Mixed,2024-09-21,Truck,65.4,35,36,No,Outer,29729,2028-08-22
7,37367,165,34,232,Continental,507,Rear Right,4.0,73,Tube-type,All-season,W,91,2021-04-15,Good,Highway,2024-10-11,SUV,72.4,31,60,No,Center,5395,2028-04-13
7,32850,205,34,180,Apollo,662,Rear Right,2.1,40,Tubeless,All-season,H,97,2021-09-16,Needs Check,Mixed,2025-02-06,SUV,71.5,31,32,Yes,Center,27723,2028-09-14
5,75778,175,35,223,MRF,526,Front Left,4.0,49,Tube-type,Summer,V,105,2024-03-10,Needs Check,City,2024-09-26,Truck,67.8,36,59,Yes,Even,39141,2029-03-09
3,38787,205,33,188,MRF,702,Rear Right,6.7,35,Tube-type,Winter,H,102,2024-09-11,Misaligned,City,2024-07-27,SUV,69.1,31,69,Yes,Inner,14688,2027-09-11
6,46958,165,31,202,Continental,626,Front Right,7.7,58,Tubeless,All-season,V,93,2021-11-30,Misaligned,Highway,2024-11-09,Truck,73.5,36,28,Yes,Inner,17651,2027-11-29
4,71536,225,32,194,Bridgestone,422,Rear Left,6.0,78,Tubeless,All-season,Y,82,2021-04-06,Good,City,2025-05-30,Hatchback,65.4,34,26,No,Outer,61294,2025-04-05
5,34225,225,31,194,Continental,602,Front Left,4.1,28,Tubeless,Summer,V,98,2024-07-20,Good,Highway,2025-03-18,SUV,66.0,34,31,Yes,Inner,31534,2029-07-19
6,72954,205,31,187,MRF,703,Rear Left,3.5,60,Tube-type,Winter,H,84,2023-09-21,Misaligned,Mixed,2024-11-21,Truck,68.6,35,41,Yes,Even,72263,2029-09-19
5,76756,225,33,229,Continental,768,Rear Right,2.3,41,Tube-type,Winter,H,105,2021-10-26,Needs Check,Highway,2024-09-13,Hatchback,69.5,29,50,No,Inner,18274,2026-10-25
3,33659,205,33,229,Pirelli,775,Rear Right,7.8,49,Tube-type,Winter,T,86,2023-09-14,Misaligned,Mixed,2024-09-09,Hatchback,74.2,28,59,No,Even,32786,2026-09-13
5,68665,165,33,211,Pirelli,400,Front Right,6.6,29,Tubeless,Summer,T,86,2021-01-27,Misaligned,City,2024-12-10,Truck,69.6,35,60,Yes,Inner,35769,2026-01-26
6,47548,165,32,193,Pirelli,751,Rear Right,6.4,66,Tube-type,Summer,V,94,2024-01-18,Misaligned,City,2024-12-22,Truck,71.3,30,33,No,Inner,20752,2030-01-16
3,67030,165,35,232,Pirelli,653,Front Left,7.7,71,Tubeless,All-season,T,102,2024-10-17,Needs Check,Highway,2025-04-08,SUV,70.0,34,55,No,Even,42462,2027-10-17
6,78920,175,32,211,Michelin,589,Front Left,7.7,32,Tubeless,Winter,H,105,2021-06-11,Good,Mixed,2025-01-21,Hatchback,66.2,35,65,No,Center,3108,2027-06-10
3,35352,225,34,190,Apollo,575,Rear Left,2.9,67,Tubeless,Winter,V,94,2023-07-25,Needs Check,Off-road,2025-03-02,Truck,73.9,36,53,Yes,Center,18894,2026-07-24
3,47698,205,34,197,Bridgestone,694,Front Left,4.1,47,Tube-type,Summer,W,108,2021-01-24,Needs Check,Off-road,2024-11-13,Hatchback,65.9,35,56,Yes,Center,9792,2024-01-24
3,67833,205,35,180,MRF,646,Rear Left,3.6,66,Tube-type,All-season,H,95,2022-05-02,Misaligned,Highway,2025-05-18,Hatchback,74.6,29,35,No,Inner,56462,2025-05-01
4,60300,225,33,201,Continental,485,Rear Right,3.3,69,Tube-type,All-season,T,101,2021-12-29,Good,City,2025-01-19,Truck,70.7,33,66,No,Even,48703,2025-12-28
5,63699,185,33,196,Michelin,424,Rear Right,7.0,36,Tubeless,Winter,V,83,2020-11-23,Needs Check,Highway,2024-11-26,Sedan,70.9,35,57,Yes,Center,9862,2025-11-22
5,57611,215,31,205,Continental,410,Front Left,6.8,62,Tubeless,Summer,Y,81,2023-06-27,Good,Off-road,2024-09-30,Truck,65.8,29,50,No,Center,44403,2028-06-25
7,57117,175,31,212,Michelin,726,Rear Left,3.7,67,Tube-type,Winter,V,85,2022-07-02,Misaligned,Off-road,2024-08-25,SUV,68.8,29,75,Yes,Center,35386,2029-06-30
5,61108,225,33,228,Michelin,787,Rear Left,5.9,55,Tube-type,All-season,T,82,2024-03-21,Good,City,2024-07-28,Sedan,67.9,33,65,Yes,Center,32075,2029-03-20
5,70749,175,30,184,Continental,643,Rear Right,3.4,46,Tube-type,Winter,T,105,2021-04-07,Good,Off-road,2025-04-06,Truck,74.9,33,73,No,Outer,10684,2026-04-06
5,49595,185,34,234,Bridgestone,608,Rear Right,4.8,54,Tube-type,Winter,H,100,2023-09-02,Needs Check,Highway,2025-01-10,Truck,70.4,31,74,Yes,Inner,8785,2028-08-31
6,48489,215,31,208,MRF,568,Rear Left,7.4,64,Tubeless,Summer,Y,98,2021-02-26,Good,Highway,2025-03-17,Hatchback,72.8,36,63,No,Inner,6859,2027-02-25
7,66754,195,31,240,Bridgestone,669,Front Left,3.7,67,Tubeless,Summer,Y,87,2024-05-06,Misaligned,Off-road,2025-02-09,Sedan,70.8,33,32,Yes,Even,57541,2031-05-05
4,78950,185,30,209,Michelin,739,Rear Right,6.3,59,Tubeless,All-season,H,109,2024-09-26,Needs Check,Highway,2024-11-09,Hatchback,74.1,29,44,No,Inner,72478,2028-09-25
6,74962,225,34,221,MRF,559,Front Right,6.6,49,Tube-type,Winter,T,108,2023-03-21,Misaligned,City,2024-08-23,Truck,72.5,29,54,No,Outer,32958,2029-03-19
4,79367,225,31,214,Goodyear,732,Front Right,3.8,79,Tubeless,Winter,Y,97,2022-12-01,Needs Check,Off-road,2025-04-14,Truck,71.5,36,55,Yes,Center,54049,2026-11-30
6,40303,225,32,192,Continental,781,Rear Right,4.2,63,Tubeless,Winter,W,85,2024-03-11,Good,Off-road,2025-03-17,Hatchback,73.9,36,69,Yes,Even,2656,2030-03-10
7,57376,175,31,210,Pirelli,713,Front Left,3.0,72,Tube-type,All-season,W,97,2022-08-21,Needs Check,Highway,2025-01-24,SUV,68.4,36,52,No,Inner,16056,2029-08-19
6,56323,165,32,186,Pirelli,404,Rear Left,6.6,65,Tubeless,Winter,V,98,2024-01-26,Good,Off-road,2025-04-30,Hatchback,73.3,36,67,No,Inner,33201,2030-01-24
4,47649,225,32,195,Pirelli,428,Rear Left,3.2,43,Tube-type,Summer,Y,108,2020-12-18,Misaligned,City,2024-11-21,Hatchback,68.9,36,64,Yes,Center,11632,2024-12-17
6,34529,195,30,221,Goodyear,566,Rear Left,3.0,32,Tube-type,All-season,Y,89,2024-09-26,Good,Mixed,2024-10-31,Hatchback,70.8,36,75,No,Inner,8803,2030-09-25
4,37873,165,35,198,Michelin,754,Rear Right,3.3,43,Tubeless,Summer,H,87,2021-03-01,Good,Off-road,2024-12-14,Sedan,65.6,33,42,No,Outer,8924,2025-02-28
7,76183,195,30,221,MRF,597,Rear Left,4.4,70,Tube-type,Winter,W,104,2024-09-14,Needs Check,Off-road,2024-10-08,Hatchback,71.9,36,60,No,Outer,278,2031-09-13
3,45836,185,31,205,Michelin,555,Front Left,7.0,73,Tubeless,Winter,T,90,2023-01-12,Misaligned,Off-road,2024-08-07,SUV,72.6,30,57,No,Inner,5974,2026-01-11
4,40487,165,32,189,Goodyear,609,Rear Left,3.5,45,Tubeless,Summer,T,84,2023-02-03,Misaligned,City,2025-01-15,Sedan,73.3,35,71,No,Center,6303,2027-02-02
3,46107,195,35,226,Apollo,581,Rear Right,2.4,36,Tubeless,Winter,V,99,2024-09-16,Good,Off-road,2025-03-30,Truck,69.5,33,65,No,Inner,8660,2027-09-16
7,63736,215,33,235,Apollo,458,Front Right,7.2,71,Tube-type,All-season,W,80,2022-10-01,Good,City,2025-03-25,Hatchback,66.5,31,69,Yes,Outer,3371,2029-09-29
3,44946,195,35,238,Michelin,427,Front Left,6.0,25,Tube-type,All-season,Y,102,2022-06-15,Good,Mixed,2025-05-28,Truck,73.9,34,46,No,Inner,42967,2025-06-14
3,65262,225,30,209,Continental,779,Front Left,4.0,53,Tube-type,Summer,T,91,2022-12-29,Needs Check,Highway,2025-05-18,Truck,74.1,34,32,Yes,Center,62659,2025-12-28
7,32748,205,34,206,Bridgestone,756,Front Left,6.9,71,Tubeless,Summer,W,101,2024-05-27,Needs Check,Off-road,2024-07-29,Hatchback,71.6,32,28,Yes,Even,17700,2031-05-26
5,64702,225,34,215,Bridgestone,525,Rear Right,6.6,53,Tube-type,All-season,Y,104,2022-03-31,Misaligned,Highway,2025-02-09,Sedan,74.2,33,68,No,Outer,43702,2027-03-30
4,59144,185,34,185,Apollo,638,Front Left,5.2,77,Tube-type,Winter,T,99,2022-04-21,Good,Highway,2025-05-14,Hatchback,66.3,29,73,Yes,Center,39822,2026-04-20
3,61628,175,32,208,Bridgestone,664,Front Left,4.8,57,Tubeless,All-season,Y,88,2022-12-27,Good,City,2025-04-18,Sedan,72.1,36,56,No,Inner,3539,2025-12-26
3,76655,195,35,181,Pirelli,529,Front Right,6.6,44,Tube-type,Winter,W,102,2021-08-11,Needs Check,Off-road,2025-05-05,SUV,73.1,29,32,Yes,Even,56151,2024-08-10
4,34311,165,31,188,Bridgestone,474,Front Right,6.0,42,Tube-type,All-season,H,103,2021-09-09,Good,Highway,2025-05-13,Hatchback,66.2,32,47,Yes,Inner,9064,2025-09-08
4,35367,205,32,211,Continental,755,Front Right,4.3,77,Tubeless,Summer,V,93,2023-10-29,Good,Mixed,2024-11-05,Sedan,69.5,33,73,Yes,Inner,8520,2027-10-28
4,48876,185,33,238,Goodyear,752,Front Right,2.2,35,Tubeless,Summer,W,93,2021-12-13,Needs Check,Highway,2024-08-13,Hatchback,67.1,35,43,Yes,Inner,30831,2025-12-12
5,59719,165,33,213,Bridgestone,712,Rear Right,6.5,69,Tube-type,All-season,V,94,2021-03-25,Needs Check,Mixed,2024-09-19,Hatchback,68.6,28,77,Yes,Even,13087,2026-03-24
4,74702,175,33,185,Apollo,596,Front Left,6.8,27,Tubeless,All-season,W,103,2022-03-22,Good,Off-road,2025-02-15,Truck,67.0,30,77,Yes,Center,33224,2026-03-21
6,50265,195,32,218,Bridgestone,468,Rear Right,4.9,59,Tubeless,Summer,Y,104,2024-02-22,Misaligned,Highway,2024-08-22,SUV,65.6,35,58,No,Inner,42776,2030-02-20
3,74152,225,33,207,Goodyear,497,Front Left,6.4,57,Tubeless,All-season,Y,98,2021-02-07,Good,City,2024-09-28,Truck,67.9,28,68,No,Outer,3509,2024-02-07
5,40233,215,33,228,MRF,542,Rear Right,7.2,67,Tube-type,All-season,H,91,2020-09-21,Good,Highway,2025-01-10,Sedan,74.7,28,34,No,Inner,16856,2025-09-20
6,34549,225,30,230,MRF,707,Rear Left,3.9,57,Tubeless,Summer,T,106,2022-03-30,Good,City,2025-04-05,Sedan,65.1,33,33,No,Outer,7727,2028-03-28
4,41689,205,35,214,Apollo,696,Front Right,6.1,28,Tube-type,All-season,H,88,2024-08-23,Good,Mixed,2025-01-26,Truck,68.4,35,35,Yes,Outer,10604,2028-08-22
6,52757,185,31,180,Continental,470,Front Left,6.0,37,Tubeless,Winter,H,89,2022-05-18,Misaligned,Highway,2025-05-28,Truck,66.0,32,28,No,Outer,45810,2028-05-16
6,49887,185,32,219,Pirelli,603,Front Right,3.4,32,Tubeless,Summer,H,92,2025-02-07,Misaligned,Mixed,2025-02-01,SUV,74.8,29,60,No,Outer,28229,2031-02-06
4,63321,215,34,226,Goodyear,793,Front Left,4.1,29,Tube-type,Summer,Y,82,2021-10-06,Needs Check,Mixed,2024-09-15,Sedan,72.3,32,52,Yes,Inner,45409,2025-10-05
6,60892,165,30,210,Continental,635,Rear Right,7.3,36,Tube-type,All-season,T,81,2024-06-12,Needs Check,Highway,2025-02-20,SUV,67.5,31,54,Yes,Even,42371,2030-06-11
7,40762,225,34,190,Apollo,498,Front Left,4.2,77,Tube-type,All-season,W,99,2023-05-14,Needs Check,City,2024-10-16,Sedan,74.8,31,38,No,Even,7104,2030-05-12
5,72804,175,35,211,Continental,496,Front Right,3.4,58,Tubeless,Winter,H,88,2023-03-23,Needs Check,City,2025-06-08,Truck,69.7,31,74,Yes,Even,34142,2028-03-21
3,48137,185,32,236,Michelin,576,Front Right,3.9,73,Tube-type,All-season,H,109,2020-08-23,Needs Check,Off-road,2024-08-25,Truck,65.0,28,47,No,Center,16162,2023-08-23
4,74508,165,33,199,Pirelli,682,Front Left,2.4,62,Tubeless,Summer,Y,103,2024-03-05,Needs Check,Mixed,2024-08-26,Sedan,66.9,30,41,No,Even,61789,2028-03-04
7,52469,165,31,195,Continental,775,Rear Left,3.9,51,Tube-type,Winter,T,104,2025-02-03,Misaligned,Highway,2024-08-19,Sedan,68.0,29,48,Yes,Outer,36006,2032-02-02
6,77487,165,33,197,Continental,594,Rear Left,4.2,67,Tubeless,All-season,T,92,2020-12-20,Needs Check,Mixed,2024-09-25,Hatchback,66.7,33,51,No,Center,63444,2026-12-19
5,46112,205,34,185,MRF,515,Rear Left,5.4,37,Tubeless,All-season,T,98,2023-10-15,Good,Off-road,2025-04-25,SUV,68.7,30,58,Yes,Inner,2224,2028-10-13
4,73909,175,33,208,Pirelli,583,Rear Right,7.1,53,Tube-type,Winter,T,109,2020-11-12,Needs Check,Off-road,2025-04-15,SUV,71.1,31,75,No,Outer,46793,2024-11-11
4,35906,225,32,192,MRF,434,Front Right,6.4,52,Tube-type,All-season,W,107,2023-01-08,Misaligned,City,2025-03-22,Truck,70.4,33,43,No,Inner,3036,2027-01-07
4,33529,165,32,226,Goodyear,642,Front Left,7.6,36,Tube-type,Summer,H,80,2023-11-24,Misaligned,Mixed,2025-06-21,Truck,71.0,33,40,Yes,Inner,11061,2027-11-23
4,66492,185,33,210,Pirelli,428,Front Right,7.7,25,Tube-type,Winter,T,80,2021-11-05,Needs Check,Off-road,2025-01-26,Truck,72.6,35,35,No,Even,1707,2025-11-04
7,64084,185,32,213,Bridgestone,748,Rear Left,5.8,52,Tubeless,All-season,T,81,2022-01-18,Misaligned,Mixed,2025-03-21,SUV,71.9,29,75,No,Even,38358,2029-01-16
5,68467,215,33,215,MRF,598,Rear Right,4.2,60,Tubeless,All-season,V,106,2022-09-28,Needs Check,Mixed,2025-06-25,Hatchback,72.3,29,73,No,Outer,33562,2027-09-27
7,57611,165,31,226,Apollo,788,Rear Left,7.2,66,Tubeless,Summer,Y,89,2024-10-16,Good,Mixed,2025-04-07,Truck,65.2,28,76,Yes,Even,22636,2031-10-15
3,64656,185,31,200,Bridgestone,477,Front Right,6.8,56,Tubeless,Winter,W,101,2023-03-18,Misaligned,City,2025-04-11,SUV,66.8,35,57,Yes,Outer,49296,2026-03-17
4,76704,205,33,216,Goodyear,543,Front Right,6.6,69,Tube-type,Summer,T,92,2022-09-22,Misaligned,Off-road,2025-01-20,SUV,66.7,33,62,Yes,Outer,44638,2026-09-21
7,46562,175,33,207,Apollo,581,Rear Left,6.4,36,Tubeless,Summer,W,96,2024-08-06,Misaligned,City,2025-02-06,SUV,73.3,31,64,No,Even,11128,2031-08-05
5,73766,215,34,238,Goodyear,773,Front Left,2.5,63,Tubeless,Summer,T,101,2020-12-11,Good,Off-road,2024-10-04,Sedan,73.7,35,67,No,Inner,67173,2025-12-10
3,53245,225,32,206,Pirelli,663,Front Left,6.0,57,Tube-type,Summer,T,104,2021-08-28,Misaligned,City,2024-12-08,Truck,65.4,30,58,Yes,Outer,23885,2024-08-27
3,62165,215,30,183,Michelin,676,Front Right,2.5,61,Tube-type,Winter,T,98,2020-12-17,Good,Highway,2024-12-25,Sedan,72.4,36,55,Yes,Center,45800,2023-12-17
5,72278,165,32,226,Continental,462,Rear Right,3.9,39,Tubeless,Winter,W,102,2023-03-24,Needs Check,Mixed,2024-12-23,Sedan,68.3,29,26,Yes,Outer,34536,2028-03-22
4,79422,225,30,196,Michelin,626,Rear Left,6.4,42,Tube-type,All-season,T,107,2022-09-29,Needs Check,City,2024-10-28,Truck,68.9,29,71,Yes,Even,27997,2026-09-28
7,79591,195,35,207,Continental,575,Rear Left,6.6,67,Tube-type,Summer,H,93,2021-08-27,Good,Off-road,2025-01-03,Truck,74.6,28,42,No,Center,13328,2028-08-25
3,33616,215,34,236,Pirelli,774,Rear Right,7.3,63,Tube-type,Winter,T,97,2021-12-26,Good,City,2025-02-27,Sedan,74.6,32,58,No,Even,1296,2024-12-25
4,36362,175,31,199,MRF,507,Rear Right,6.5,75,Tubeless,Summer,T,99,2022-01-13,Misaligned,City,2024-08-28,SUV,65.3,35,52,Yes,Inner,14975,2026-01-12
3,37439,205,32,199,MRF,778,Rear Right,4.4,67,Tube-type,Winter,W,95,2024-11-07,Needs Check,Highway,2025-02-23,Hatchback,71.8,36,49,Yes,Outer,25716,2027-11-07
4,54644,175,33,183,Continental,440,Rear Right,6.5,67,Tube-type,Winter,V,80,2022-05-13,Needs Check,Highway,2025-05-16,Truck,73.9,34,29,Yes,Inner,10136,2026-05-12
3,70939,185,34,221,Continental,454,Rear Right,4.4,32,Tube-type,Winter,T,83,2020-10-06,Good,Highway,2025-01-02,SUV,66.8,30,41,Yes,Even,10238,2023-10-06
4,38923,195,31,229,Apollo,661,Front Right,6.2,79,Tubeless,Summer,V,92,2021-11-25,Misaligned,City,2025-03-01,Truck,69.5,31,71,Yes,Inner,2610,2025-11-24
5,38631,165,30,190,MRF,447,Front Right,6.3,37,Tubeless,Winter,V,98,2023-07-06,Good,Off-road,2024-08-08,Sedan,65.3,30,75,No,Center,13878,2028-07-04
6,73514,175,35,198,MRF,419,Front Right,6.6,53,Tubeless,Summer,V,108,2024-07-27,Needs Check,City,2025-05-19,Sedan,73.7,28,46,No,Inner,4923,2030-07-26
5,56478,165,31,224,Apollo,447,Front Left,2.5,31,Tube-type,Winter,Y,92,2024-06-04,Good,Highway,2025-01-06,Hatchback,72.2,29,49,Yes,Center,52717,2029-06-03
4,39813,175,30,206,MRF,524,Front Left,7.2,64,Tube-type,Summer,V,100,2020-11-22,Good,Mixed,2024-10-19,Sedan,72.5,29,37,No,Center,15317,2024-11-21
7,79874,205,30,211,Continental,610,Rear Right,3.6,29,Tubeless,Winter,W,96,2021-07-01,Needs Check,Mixed,2025-05-21,Hatchback,71.5,28,65,No,Center,72368,2028-06-29
3,34502,165,34,195,Pirelli,699,Rear Right,5.0,64,Tube-type,Winter,T,93,2024-09-24,Misaligned,Off-road,2025-04-26,Truck,73.8,35,26,No,Center,27058,2027-09-24
6,75334,175,33,214,Bridgestone,515,Rear Left,4.9,70,Tubeless,Winter,W,98,2022-03-31,Needs Check,Off-road,2025-01-03,SUV,65.1,31,56,No,Outer,74579,2028-03-29
3,65223,185,32,189,Pirelli,741,Front Right,4.9,56,Tube-type,Winter,V,91,2025-03-16,Misaligned,City,2024-08-15,Sedan,69.4,28,70,No,Even,27640,2028-03-15
3,61282,195,35,193,Michelin,754,Rear Right,3.7,56,Tubeless,Summer,Y,92,2024-04-06,Misaligned,Off-road,2024-12-29,Hatchback,72.4,30,47,No,Inner,5083,2027-04-06
4,41954,195,33,225,Pirelli,733,Front Right,3.2,67,Tubeless,Summer,T,91,2022-11-21,Good,Highway,2025-01-05,SUV,73.2,36,25,Yes,Outer,2710,2026-11-20
7,59721,175,35,198,Apollo,557,Front Right,4.4,28,Tube-type,All-season,V,90,2022-05-01,Needs Check,City,2024-08-13,SUV,67.2,29,26,Yes,Outer,10647,2029-04-29
5,77832,205,35,233,Goodyear,550,Rear Right,3.7,65,Tubeless,Summer,V,99,2024-10-27,Good,Highway,2025-01-12,Sedan,68.7,29,26,No,Outer,2418,2029-10-26
5,44192,175,33,188,MRF,779,Front Right,6.0,50,Tube-type,All-season,V,90,2022-12-27,Needs Check,Mixed,2024-11-28,Hatchback,72.4,32,43,No,Outer,4675,2027-12-26
7,50692,195,32,202,Apollo,721,Rear Left,5.8,51,Tubeless,Summer,V,84,2021-11-21,Misaligned,City,2024-08-30,Truck,71.9,31,59,No,Outer,50535,2028-11-19
3,79387,185,34,195,Michelin,582,Front Left,7.0,53,Tube-type,Summer,T,87,2025-03-25,Good,City,2025-01-20,Hatchback,73.7,33,53,No,Outer,76424,2028-03-24
4,71359,185,31,188,Apollo,742,Rear Right,3.4,78,Tubeless,All-season,T,81,2022-04-06,Misaligned,Highway,2024-12-03,Truck,70.0,29,55,No,Outer,2125,2026-04-05
5,42833,215,34,214,Continental,613,Rear Left,7.3,74,Tube-type,Winter,V,89,2021-05-14,Needs Check,Mixed,2024-08-28,SUV,73.9,36,28,No,Outer,21070,2026-05-13
5,44739,175,35,237,Pirelli,461,Rear Left,2.6,45,Tubeless,Winter,V,95,2021-10-31,Needs Check,Off-road,2024-07-31,Sedan,72.0,36,27,No,Inner,3859,2026-10-30
3,74290,225,30,196,Continental,456,Front Right,6.7,78,Tubeless,Winter,Y,96,2022-12-01,Needs Check,Highway,2024-12-24,Hatchback,66.6,33,76,No,Center,15345,2025-11-30
4,69054,195,30,199,Bridgestone,712,Rear Left,6.1,76,Tube-type,Winter,Y,96,2025-01-08,Good,Highway,2024-07-30,Truck,65.7,30,29,No,Center,68747,2029-01-07
5,59793,205,32,213,Continental,410,Front Left,6.9,46,Tubeless,Winter,W,110,2021-04-20,Misaligned,Highway,2025-04-16,Hatchback,74.8,33,25,Yes,Center,40581,2026-04-19
7,40058,165,33,208,Goodyear,749,Front Left,2.8,71,Tubeless,Summer,V,97,2023-04-20,Good,City,2025-04-03,SUV,71.9,35,26,No,Center,30302,2030-04-18
3,48651,175,33,210,Continental,480,Rear Right,7.6,55,Tubeless,Summer,T,110,2021-04-12,Misaligned,Off-road,2024-09-16,Sedan,72.4,28,79,No,Even,5872,2024-04-11
3,68915,205,32,198,Apollo,488,Rear Right,7.7,41,Tubeless,Winter,T,81,2023-01-06,Misaligned,City,2024-11-02,SUV,68.0,32,55,No,Outer,60154,2026-01-05
6,62154,165,35,208,Continental,551,Rear Right,3.2,49,Tube-type,All-season,H,82,2022-06-13,Misaligned,Off-road,2024-09-25,Hatchback,68.0,34,66,No,Center,54251,2028-06-11
4,55591,225,34,239,Continental,445,Rear Left,2.2,38,Tubeless,Winter,H,81,2022-08-09,Good,Off-road,2024-08-19,Sedan,67.2,36,75,No,Outer,8185,2026-08-08
4,60033,165,32,217,Apollo,606,Rear Left,6.5,77,Tube-type,Summer,Y,88,2022-07-04,Misaligned,Mixed,2025-05-24,Truck,69.0,35,66,Yes,Outer,58284,2026-07-03
